모델,튜닝 방식,오버샘플링,파생변수 생성,Accuracy,Precision,Recall,F1 Score,ROC AUC
RandomForest,그리드서치,O,O,0.6293,0.5435,0.5319,0.5376,0.6875
XGboost,그리드서치,O,O,0.6552,0.566,0.6383,0.6,0.6778
RandomForest,그리드서치,X,O,0.6207,0.5366,0.4681,0.5,0.6559
XGboost,그리드서치,X,O,0.6481,0.5517,0.7273,0.6275,0.6634
RandomForest,그리드서치,O,X,0.6552,0.5745,0.5745,0.5745,0.6926
XGboost,그리드서치,O,X,0.5948,0.5,0.4894,0.4946,0.6198
RandomForest,그리드서치,X,X,0.6724,0.6047,0.5532,0.5778,0.6998
XGboost,그리드서치,X,X,0.6724,0.6098,0.5319,0.5682,0.6901
LightGBM,Optuna,O,O,0.5948,0.5,0.5319,0.5155,0.638
RandomForest,Optuna,O,O,0.6379,0.549,0.5957,0.5714,0.6984
XGboost,Optuna,O,O,0.6552,0.5714,0.5957,0.5833,0.638
앙상블,Optuna,O,O,0.6293,0.5435,0.5319,0.5376,0.6747
LightGBM,Optuna,X,O,0.6638,0.58,0.617,0.5979,0.6827
RandomForest,Optuna,X,O,0.6638,0.6111,0.4681,0.5301,0.6987
XGboost,Optuna,X,O,0.6552,0.5946,0.4681,0.5238,0.7243
앙상블,Optuna,X,O,0.6897,0.6571,0.4894,0.561,0.7179
LightGBM,Optuna,O,X,0.6466,0.5556,0.6383,0.5941,0.6645
RandomForest,Optuna,O,X,0.6379,0.551,0.5745,0.5625,0.6506
XGboost,Optuna,O,X,0.6379,0.549,0.5957,0.5714,0.6799
앙상블,Optuna,O,X,0.6207,0.5319,0.5319,0.5319,0.6448
LightGBM,Optuna,X,X,0.6293,0.5417,0.5532,0.5474,0.667
RandomForest,Optuna,X,X,0.6552,0.5946,0.4681,0.5238,0.6963
XGboost,Optuna,X,X,0.6724,0.6098,0.5319,0.5682,0.6987
앙상블,Optuna,X,X,0.6897,0.641,0.5319,0.5814,0.7148
